userName,score,at,content,,,,,,,,,,,,,
Aldi Bayu,1,11/27/2022 11:43, server lemot parah, lag bikin emosi, hanya toped yang lemot server down, mending Shopee lancar ,,,,,,,,,,
Tyan Ramadhan,4,11/27/2022 11:39,Maaf sebelumnya aplikasi nya sering eror alias download ulang dan itu sangat menggangu,,,,,,,,,,,,,
jefry,2,11/27/2022 10:50, Tadinya bagus, sekarang udah gak lagi ,,,,,,,,,,,,
06. a rifaldi,5,11/27/2022 10:47,Mantap jiwa,,,,,,,,,,,,,
Nico Prayogi,1,11/27/2022 10:44,Ada promo udah seneng.. tiba2 dibatalin sama pihak tokped...,,,,,,,,,,,,,
Ayyup YH,5,11/27/2022 10:41,ok,,,,,,,,,,,,,
Eko Santoso,5,11/27/2022 10:41,cara mudah berbelanja,,,,,,,,,,,,,
Yandi Gunawan,1,11/27/2022 10:36, Metode pembayaran terbatas, ribet jadinya ,,,,,,,,,,,,
Cilla Angelina Ramadhani,5,11/27/2022 10:34,mantap pokok nya Tokopedia bnyak Cashback nya....,,,,,,,,,,,,,
Muhammad Wayan Al ghazalih,5,11/27/2022 10:32,mantaapp,,,,,,,,,,,,,
Eko Suparsono34,5,11/27/2022 10:23,Bagus,,,,,,,,,,,,,
Agus Rustiana,1,11/27/2022 10:22,Begitulah polemik belanja online.,,,,,,,,,,,,,
Febri K,5,11/27/2022 9:55,ok,,,,,,,,,,,,,
Calvin Dhanier,4,11/27/2022 9:46, traktiran pengguna baru tidak bisa di pakai, kecewaaa😌😌😌🙏 ,,,,,,,,,,,,
Alex ZetA,5,11/27/2022 9:46,sangat puas,,,,,,,,,,,,,
bayi Tamvan,5,11/27/2022 9:32,semoga tokopedia semakin maju. agar ekspedisinya yang digunakan juga semakin berkembang dan bisa memperkerjakan banyak orang. terimakasih tokopedia,,,,,,,,,,,,,
Marsinem 1505,5,11/27/2022 9:27,Trimakasih,,,,,,,,,,,,,
iwan christiawan,5,11/27/2022 9:03,muantab,,,,,,,,,,,,,
Gunandar Prasetio,1,11/27/2022 9:03,pake gratis ongkir malah biaya lebih mahal daripada gak make. percuma ada promo gratis ongkir 🤣😅,,,,,,,,,,,,,
Heru Fast_Work,5,11/27/2022 9:00,bagussss,,,,,,,,,,,,,
fachrur roji,5,11/27/2022 8:57,Aplikasi yang sangat membantu,,,,,,,,,,,,,
Ahmad Sultony,4,11/27/2022 8:43,bagus,,,,,,,,,,,,,
Icon Walk,1,11/27/2022 8:43, Marketplace lebay kebanyakan ngeprank customer dgn iming2 promo.. pas dipake tuh promo, malah di batalkan system, blacklist sekalian. mending shopee kemana-mana ,,,,,,,,,,,
Danang Lestanto,1,11/27/2022 8:39, Aplikasi gak jelas taiii, harus verifikasi 17 th , nyusahin orang proses lama , aplikasi gak jelas ,,,,,,,,,,
Muhamad rido Muhamad rido,5,11/27/2022 8:29,good,,,,,,,,,,,,,
Turwanto Carwan,1,11/27/2022 8:22, Estimasinya terlalu membagongkan,dan terlalu komersil,apa apa serba beaya tinggi ,,,,,,,,,,,
Suryadi Hidayat,1,11/27/2022 8:10, Cs ga fast respon, pengembalian refund trllu lama sampai skrnk ga masuk jg, stiap chat cs ngmng sudh di prioritaskan,sruh cek limit trs,masuk kaga,yg ada info tagihan yg masuk, konsumen rugi ga bisa pakai tp limit ga d kembalikan,yg ada CMA harus bayar tagihan,tlong di perbaiki cs nya,jngn kebanyakan magabut,sruh fast respon krjnya ,,,
Yuuki Akemi,1,11/27/2022 8:08, Pengiriman lemot, kendala ada kendala mulu perasaan. Kalah sama apk sebelah yang sat set sat set. ,,,,,,,,,,,,
Gembel Elit Mail,1,11/27/2022 8:04,Percuma pake fitur jika msh ada campur tangan orang dalam (IT),,,,,,,,,,,,,
Alfarell N.A.,1,11/27/2022 7:59, Sekarang tokped promo gratis ongkir & cashback gabisa dipake bersamaan, beda bgt sma toko oren. Padahal dulu tokped jg bisa 😔 ,,,,,,,,,,,,
Fri E,4,11/27/2022 7:55,Aplikasinya ngelack. Gak jelas nih,,,,,,,,,,,,,
Tony Janis,1,11/27/2022 7:30,Biaya refund 725.000 tidak d kembalikan.,,,,,,,,,,,,,
kijunk sungke,1,11/27/2022 7:13,Pentes klah ama sebelah... aktipin payleter aja gk bisa bisa,,,,,,,,,,,,,
Hendry saja,1,11/27/2022 7:03,Nggak bisa mengkonfimasi kalo paketnya udah datang,,,,,,,,,,,,,
Suyarto 1966,5,11/27/2022 6:54,Biarkan bintang yg menilai,,,,,,,,,,,,,
Al Af,5,11/27/2022 6:45,sat set,,,,,,,,,,,,,
Bo Ma,5,11/27/2022 6:34, Baik, bagis ,,,,,,,,,,,,
Juans Yusuf husein,5,11/27/2022 6:32,mantul,,,,,,,,,,,,,
Mochamad Fuad suryo,5,11/27/2022 6:24,good,,,,,,,,,,,,,
Nina,3,11/27/2022 6:24, Agak kurang bersaing dgn e-commerce sebelah, apalagi setelah cuma bisa pakai 1 voucher doang ,,,,,,,,,,,,
And San,5,11/27/2022 6:22,moga benjam murah terus,,,,,,,,,,,,,
OZZOSKARR,1,11/27/2022 6:22,Sekarang cashback tidak bisa di pakai bersamaan gratis ongkir,,,,,,,,,,,,,
eru sugino,4,11/27/2022 6:15,sudah bagus.. cuma iklannya luar biasa sangat sangat menganggu.. buka aplikasi lain muncul iklan toped. bahkan semua aplikasi muncul iklan toped. lg buka aplikasi toped aja muncul iklan toped.. wkwkwkwk nunggu beberapa detik baru x muncul. solusinya.. log out toped.. kita login pas perlu saja... log out lagi. atau yg jarang pakai uninstall kita install ulang pas perlu saja. solusi paling jitu iklan toped ga muncul dimana mana. selamat mencoba...,,,,,,,,,,,,,
orang ganteng (Ucan),5,11/27/2022 6:11,Bagus,,,,,,,,,,,,,
Wiwin Dwi Irawati,4,11/27/2022 5:55,Baik,,,,,,,,,,,,,
Joko Susilo,5,11/27/2022 5:53, Alhamdulillah,, aplikasi ini masih bisa di akses oleh pembaca layar, saya harap agar bisa lebih akses lagi, karena masih ada beberapa item-item yang tidak terbaca, masukan murni berbahasa Indonesia agar mudah di mengerti,, terima kasih. ,,,,,,
Shope 1212,5,11/27/2022 5:52,Ok,,,,,,,,,,,,,
Tiofredy 004,5,11/27/2022 5:47,Mantabbb,,,,,,,,,,,,,
Deskar Fauzy,5,11/27/2022 5:36,bagus tapi tolong kembalikan cashback belanja + free ongkirnya tanpa syarat kek dulu jadi belanja selain dapat bonus free ongkir juga enak kek dulu,,,,,,,,,,,,,
Denny Julista,5,11/27/2022 5:35,Mantul,,,,,,,,,,,,,
Mhd A Subkhairi Siregar,5,11/27/2022 5:10,mantap,,,,,,,,,,,,,
Andi Sugandi,1,11/27/2022 5:10,Buruk....!!!,,,,,,,,,,,,,
Fifi Benggu,5,11/27/2022 5:07,Sangat bagus,,,,,,,,,,,,,
RCNTFRDS,1,11/27/2022 5:07, dg berat hati. baru kali ini sy mau nge review aplikasi di playstore, itu pun karena pengalaman yang buruk. td pagi sy bayar tagihan pesanan sy, promo juga dr app nya, tp ternyata setelah sy bayar malah   dibatalkan sistem  . mana mau refund ribet lagi, cukup ini kali terakhir sy pake si ijo ini. ga lagi deh. ,,,,,,,,,
Setyo Nugroho,1,11/27/2022 5:04,Semakin hari semakin buruk Tokped. Tinggal nunggu ditinggalkan pengguna dan Bangkrut.,,,,,,,,,,,,,
Ibings Safawie,1,11/27/2022 5:01, Pelayanan costumer service nya buruk,karyawanya cuman makan gaji buta sangat sangat buruk d i telvon kagak mau di angkat ,,,,,,,,,,,,
Suwandi Cong,5,11/27/2022 5:01,mantap deh tokopedia,,,,,,,,,,,,,
Sri Maryati,5,11/27/2022 4:53,Adakan promo untuk bs ntn piala dunia donk,,,,,,,,,,,,,
Arie Febriyant,1,11/27/2022 4:47, Turunin dulu, nnt naikkan lg kalo sudah kembali ke sedia kala ,,,,,,,,,,,,
siti haeriyyah,5,11/27/2022 4:37,sangat membantu,,,,,,,,,,,,,
Irwan Tanjung,5,11/27/2022 4:35,tolong promo nya yg 0 Rp bagi penguna baru di perpanjang,,,,,,,,,,,,,
Rofi'atudarojah Darojah,5,11/27/2022 4:31,Kenapa sekarang kodepromo g biaa di gabung sama ongkir hehhhhhh,,,,,,,,,,,,,
hirman syahroni,1,11/27/2022 4:25, Fitur lacak paket nya buruk kirim tanggal 23-11-2022 status paketnya gak jelas status paket terakhir hanya di update sampai tanggal 25-11-2022 ,👎 ,,,,,,,,,,,,
Asep Hidayat,5,11/27/2022 4:21,mantaplah,,,,,,,,,,,,,
Karta Wijaya,4,11/27/2022 4:01,sangat memuaskan,,,,,,,,,,,,,
efendi Kicirkicir,5,11/27/2022 3:28,aplikasi sipp,,,,,,,,,,,,,
Riski Fadilah,3,11/27/2022 3:26,mantab.!,,,,,,,,,,,,,
Prasetyo Pras,1,11/27/2022 3:08, Suka belanja di tokopedia, tapi suka kesal juga saat buka aplikasi lain kebanyakan iklan tokopedia. Mengganggu. Jangan terlalu banyak pasang iklan di aplikasi lain lah, mengganggu tau. Justru jadi sebal sm tokopedia gara2 iklan yg mengganggu di aplikasi lain. Nanti juga waktunya belanja online buka aplikasi tokped. Selow aja. Woles, Woles. ,,,,,,,,,,
Saddam HM,5,11/27/2022 2:52,Mantabbah,,,,,,,,,,,,,
Panji Sulaksono,5,11/27/2022 2:45,blanja di atas 50 ribu bebas ongkit,,,,,,,,,,,,,
ratna wati,5,11/27/2022 2:45,lumayan oleh gratisa,,,,,,,,,,,,,
Ahmad Rifai,5,11/27/2022 2:42,Tokopedia Sangat Bagus 👍🏻,,,,,,,,,,,,,
awaludin tahir,1,11/27/2022 2:36, saya kecewa pengguna android tidak bisa beli liquid , sedangkan pengguna iphone tidak ada larangan sama sekali ,,,,,,,,,,,,
Kaco Kancil,5,11/27/2022 2:33,Mantap,,,,,,,,,,,,,
nana supriatna,5,11/27/2022 2:29,puas banget lah pokonya,,,,,,,,,,,,,
Rahmad Solikul Hadi,3,11/27/2022 2:26,Terlalu banyak iklan mengganggu komunikasi,,,,,,,,,,,,,
Ahnan Nand,3,11/27/2022 2:22,Potongan gratis ongkir sekarang sedikit,,,,,,,,,,,,,
Suri Yanto,5,11/27/2022 2:15,Membantu,,,,,,,,,,,,,
Sony IF,5,11/27/2022 2:10,langganan Saya sejak lama,,,,,,,,,,,,,
HASBUL GANTENG,5,11/27/2022 2:08,Baguss,,,,,,,,,,,,,
Ima Nuah,5,11/27/2022 1:40,siiip,,,,,,,,,,,,,
Febri Ardhianto,3,11/27/2022 1:24,Sekarang voucher gratis ongkir dan diskon/cashback tidak bisa dipakai secara bersamaan,,,,,,,,,,,,,
Reza Prakoso,5,11/27/2022 1:16, Mantap buat transaksi di Tokopedia pasti aman, cepat, tepat 👍🏼👍🏼👍🏼👍🏼👍🏼 ,,,,,,,,,,,
Mus Likhah,5,11/27/2022 1:14,bagus,,,,,,,,,,,,,
Moh. ilzam,1,11/27/2022 1:09, Sekarang bebas ongkirnya sama cashback tidak bisa dipakai secara bersamaan, mohon di perbaiki seperti yg dulu sudah enak ,,,,,,,,,,,,
Rohman New,1,11/27/2022 1:02, Bukanya tambah bagus tambah payah terlalu banyak memakan memori hp tambah berat,,suruh apdet terus Yo mending tak hapus ni aplikasi,,, Mau transaksi beli token kok dipersulit update,, kalau gx berat GPP,,, ,,,
Wafi Uddin,5,11/27/2022 0:44,Mantap banyak diskonya,,,,,,,,,,,,,
Yanuar Pasa,5,11/27/2022 0:32,kerenn Toped,,,,,,,,,,,,,
Dadang Chandra,5,11/27/2022 0:30,👍👍👍,,,,,,,,,,,,,
Adibah & Azmiya,5,11/27/2022 0:30,Ok,,,,,,,,,,,,,
Lip Eng,5,11/27/2022 0:20,Good,,,,,,,,,,,,,
Muhammad Nur rokhim,5,11/27/2022 0:04,Aplikasinya sangat membantu,,,,,,,,,,,,,
Aldo alwimna,1,11/26/2022 23:54,Asem beli pulsa error . Briva tetep kepotong bajingaaaan,,,,,,,,,,,,,
Hesti Nurmala,1,11/26/2022 23:41,Semoga sakitnya tokopedia yg pelit segera sembuh...Tokopedia aplikasi yg harganya mahal2 dan yg bikin murah itu voucer grtis ongkirnya bisa gabung promo lain....cashback ngeprank kalo lapor cs yg lapor malah disalahin padahal ga tau apa2...,,,,,,,,,,,,,
Yuli Sulistiyono,5,11/26/2022 23:33,sangat menarik ok banget,,,,,,,,,,,,,
Ojan 06,5,11/26/2022 23:06,bagus banget,,,,,,,,,,,,,
Indosisriri,4,11/26/2022 22:55, Ku lihat di, TV tokopedia katanya bebas ongkir seluruh indonesia, Apa beneran ya. Aku baru download. Kami di papua kan juga indonesia. Bila ke papua tidak bebas ongkir, Berarti pihak tokopedia tidak menganggap papua ini indonesia juga. ,,,,,,,,,,
Buka Toko,1,11/26/2022 22:52,Gak ada diskon pulsa gan ongkir mahal Sungguh pelayanan semakin buruk gak mau lagi belanj di tokoed. mending di IGshop aja man temanbelanjny,,,,,,,,,,,,,
lilis Lestari,1,11/26/2022 22:47,Sekarang Tokopedia tidak ada diskon... Hapus aja aplikasi nya,,,,,,,,,,,,,
Acong Low,5,11/26/2022 22:38,sangat bagus,,,,,,,,,,,,,
Netty Felle,5,11/26/2022 22:24,barang2nya sesui gambar dan tidak mengecewakan dan harganya juga terjangkau jadi inggin belanja trus ditokopedia....!!!,,,,,,,,,,,,,
Andi Maryanto,5,11/26/2022 22:21,Ok,,,,,,,,,,,,,
Muhammad Fadhil Ramadhan,1,11/26/2022 22:19, Sistem gratis ongkirnya kenapa berubah, sekarang jadi ga asik harus pilih cashback atau gratis ongkir. Sebelumnya enak bisa kepake dua  nya sekaligus. Sekarang ga asik toped ,,,,,,,,,,,,
1tywildan@gmail.com Farosi,5,11/26/2022 22:14,sangat bagus dan murah,,,,,,,,,,,,,
Muhamad Syahroni,5,11/26/2022 21:57, Kapok belanja di tokped, gratis ongkir barang ilang udah ngajuin refund tapi uangnya kagak balik 🖕 ,,,,,,,,,,,,
arif ianto,5,11/26/2022 21:48,aplikasi keren,,,,,,,,,,,,,
Loha Jiha,5,11/26/2022 21:13,Mantap aplikasi ini tapi tolong di tingkatkan ya,,,,,,,,,,,,,
Febri Choqy,5,11/26/2022 20:21,mantab kaya mantan pertama,,,,,,,,,,,,,
Riky Ripaldo,1,11/26/2022 19:25,Semakin susah sekarang,,,,,,,,,,,,,
Tri Han,3,11/26/2022 19:23,Saya suka plikasiya,,,,,,,,,,,,,
Vedrix Vernanda,5,11/26/2022 19:05,Improve jaringannya dong kasian kita2 yg koneksi inetnya gak kenceng hahha,,,,,,,,,,,,,
Ray Cyber,1,11/26/2022 18:56, Pengguna baru, udh dibayar ehhh di cancel otomatis sama tokped... dancuk ,,,,,,,,,,,,
Arjuno Juarno,5,11/26/2022 17:52, anda ingin pesan, telitilah 1. alamat pengiriman apakah sudah benar. 2.pastikan metode pembayarannya dengan akses termudah. 3.pilih cara cepat pengiriman. jika ada kekeliruan dalam.menentukan pilihan2 diatas.alangkah baiknya dibatalkan saja. ,,,,,,,,,,,,
Aditya Azhari,5,11/26/2022 17:47, mantap,tokped is the best.. ,,,,,,,,,,,,
Andi Irawan,5,11/26/2022 17:46,Masih baru,,,,,,,,,,,,,
Arka Abkori,1,11/26/2022 17:42,Percuma ada diskon2 vocer pennguna baru maudi pake error bedakan mana penguna baru mana yg bukan....!!,,,,,,,,,,,,,
dewi.s insanul1,1,11/26/2022 17:34, Dipagi dini hari ini, saya menjadi saksi sekaligus korban penipuan di toko pedia, yang penipu itu dilindungi toko pedia. Bagaimana tidak, saya tidak tidur mengikuti proses solusi dari toko pedia agar akun toko penipu itu di moderasi permanen,agar tidak menipu konsumen lainnya, justru dibebaskan setelah bukti-bukti percakapan,foto,video diberikan. Saat ini Hari terakhir menggunakan toko pedia,Lebih fokus ke buka lapak dan shopee. Disini ternyata pedagang-pedagang c*l*s dipiara cuy #KecewaBerat ,,,,,
Rafa Fauzankamil,4,11/26/2022 17:24, baru coba, semoga tidak mengecewakan yah ,,,,,,,,,,,,
Ahmad Mikail Fadillah,4,11/26/2022 16:50,Lah susah upload gambar sesudah beli barang gimana nih mau kasih rate tanpa photo jadi menggangu,,,,,,,,,,,,,
Ahmad Mauluddin,5,11/26/2022 16:38,Semoga makin bisa di percaya konsumen☺🤲🏼,,,,,,,,,,,,,
Nardi Nardi,5,11/26/2022 16:20,Tokopediaberiratingaplikasiini,,,,,,,,,,,,,
Gunawan Ivandi,1,11/26/2022 16:12,Aplikasi yang selalu memihak ke pembeli Tidak pernah memihak ke seller Walaupun pembeli yang salah Aplikasi buruk tidak netral,,,,,,,,,,,,,
Jefri Saragih,1,11/26/2022 15:54, Kenapa tidak bebas ongkir jika mrnggunakan cashback? ini tidak adil, sama sajabcashbacknya untuk nutupin ongkir, saya tidak pernah berbelanja lagi sejak ada peraturan ini, tokopedia mungkin akan segera menyusul bukalapak alias bangkrut, bakal banyak berkurang pembelinya ,,,,,,,,,
Iing Ilham Kandra,3,11/26/2022 15:53,oke,,,,,,,,,,,,,
TProject Performance,1,11/26/2022 15:51, Diupdate harga ongkir malah pada naek, mana lemot pula, auto uninstal... Thanks ,,,,,,,,,,,
Arif Setyawan,5,11/26/2022 15:45,tokped terbaik mskipun kdg ada beberapa toko kurang memuaskan karena tidak sesuai dengan display dan keterangan barangx,,,,,,,,,,,,,
Lyond Dustford,1,11/26/2022 15:41, Baru diupdate liat promo tp ngasih promo gajelas, ada promo tp keterangan tidak tersedia, padahal bisa dipake tp gk aktif ,,,,,,,,,,,
Sri wahyuni Yuni,1,11/26/2022 15:36,Parah cashback nya tipu tipu ... Mengecewakan,,,,,,,,,,,,,
Bun Teri,5,11/26/2022 15:35,Recommended online store,,,,,,,,,,,,,
Wildan Fauzy,5,11/26/2022 15:33,Terimakasih Tokopedia Membantu Kebutuhan Belanja Online Di Era Digital Saat Ini...,,,,,,,,,,,,,
Zul Kifli,5,11/26/2022 15:26,Sangat memuaskan,,,,,,,,,,,,,
Eril Ril,5,11/26/2022 15:21,Tokopedia slalu terdepan,,,,,,,,,,,,,
Kayla Mama,5,11/26/2022 15:21,Bagusss dan selalu terdepan,,,,,,,,,,,,,
pertanian channel,1,11/26/2022 15:13,Aplikasi gak bagus..mau daftar selalu tidak bisa,,,,,,,,,,,,,
Ajo Dayat,5,11/26/2022 15:08,Bagus,,,,,,,,,,,,,
HS Rani,5,11/26/2022 15:06,belanja mudah dan aman,,,,,,,,,,,,,
jatrok theaa,5,11/26/2022 14:53,Mantaaaaap,,,,,,,,,,,,,
Ahra Almaira,5,11/26/2022 14:52,Mantap,,,,,,,,,,,,,
Lelly Hermawan,4,11/26/2022 14:49,Baik,,,,,,,,,,,,,
Taofik Hidayat,5,11/26/2022 14:49,baguuuiuiiiiiiiiiuuuuuuus,,,,,,,,,,,,,
Nur yanah,5,11/26/2022 14:25,Mantap,,,,,,,,,,,,,
Grab Dian,5,11/26/2022 14:24,ok,,,,,,,,,,,,,
Eko heru Setiawan,1,11/26/2022 14:12,parah paling parah .aplikasi yang kalo kasih promo ga pernah bener.. invoice sebelum dan sesudah klik terima bisa beda .komplain malah gue yg disalain .. aplikasi pelit promo .gratis ongkir ga bisa gabung promo. kode voucer bisa dipake cashback tapi ga masuk 🤡😤,,,,,,,,,,,,,
Irfan Setiawan,5,11/26/2022 14:10,good,,,,,,,,,,,,,
Tri Prasetyo,1,11/26/2022 14:09, Saya suka belanja di tokopedia, tapi makin kesini banyak penjual yg balas chat cepat giliran dibayar harus dikejar2 minta nom resinya, bahkan ada penjual yg diulur agar batal otomatis padahal batal otomatis nunggunya Kelamaan... Saya dan penjual sudah setuju untuk cancel order, chat saya lampirkan di CARE tokped, tapi mlah tidak direspon... Gak mihak pembeli !!... Mana harga online kok jadi sama kyk offline... ,,,,,,,,,
Dicky Saefuln,5,11/26/2022 14:07,sangat bagus,,,,,,,,,,,,,
Galesha Hesti nurmala,1,11/26/2022 14:06,tokpedia parah tukang bohong cashbak ngeprank aplikasi kok ga ad amanah2nya kampret deh,,,,,,,,,,,,,
gito gito,2,11/26/2022 14:05,saya pengen masuk daftar .aja shusah skali biyar bisa blanja di tokted,,,,,,,,,,,,,
Rudi Iswoyo,5,11/26/2022 14:04,toopppp,,,,,,,,,,,,,
Muin Muin,1,11/26/2022 14:02, Tidak ada cod , free ongkir cuma tulisan doang ,,,,,,,,,,,,
UcinX NotZ SphinX (miaw),1,11/26/2022 13:56, sorting “harga terendah” dan “harga tertinggi” bisa dibilang tidak berfungsi, produk “Ad” tersebar acak-acakan. menyebabkan bingung dan bahaya salah beli. ,,,,,,,,,,,,
Samir Putrabanjar,5,11/26/2022 13:37,Bagus,,,,,,,,,,,,,
Eri Kumis22,5,11/26/2022 13:28,Smoga lbih baik lgi,,,,,,,,,,,,,
Agus Cahya,5,11/26/2022 13:23,mudah dalam berbelanja,,,,,,,,,,,,,
Arfan Naufal,5,11/26/2022 13:21,Mantap,,,,,,,,,,,,,
ALAM RAMADIAN,1,11/26/2022 13:11, Huu gak bagus lagi, skrang voucher chasback dan gratis ongkir tidak bisa digunakan bersamaan, sangat buruk, jelek sekali toko pedia sekarang, tidak direkomendasikan pake toko pedia lagi, mending sh0pi ,,,,,,,,
Blue Kills88,1,11/26/2022 12:59,Makin kesini Makin Busuk Ini Tokopedia.. kalo udh pake voucher gratis ongkirnya.. voucher casback/diskon udh ga biaa di pake lagii.. uninstal ajalah babi,,,,,,,,,,,,,
Ridho Ferdiansyah Kacaribu 20-131,1,11/26/2022 12:52,Refund uang tidak langsung ke sumber uangnya malah ditahan di appnya,,,,,,,,,,,,,
Yuli Yanah,5,11/26/2022 12:39,sangatbaik,,,,,,,,,,,,,
Peri Pandani,5,11/26/2022 12:26,lebih pasti diskonnya,,,,,,,,,,,,,
Erwin Erwin,1,11/26/2022 12:24,Apalah tokopedia ni...barang tidak sampai padahal uang sudah di tranfer...2 x pembelian hampir 1 juta tapi barag tidak ada...si cepat kayak ad masalah tapi masih juga pakai si cepat,,,,,,,,,,,,,
Atep Nurdin,5,11/26/2022 12:20,Siip juga tokopedia,,,,,,,,,,,,,
Upiq anty,5,11/26/2022 12:19,ok,,,,,,,,,,,,,
